"","RecordNo","DateEntered","Habitat","HostSpecies","HostOrder","HostFamily","Synonyms","Food","genYr","CommonName","ProvinceI","InsectStatus","ModificationDate","InCanada","ChangeSpeciesTo","CommonNameOther","Complete","AdditionalReferences"
"624",633,"1/6/2096","Aquatic, containers, pasture","Culex annulirostris","Diptera","Culicidae","","humans, birds, domestic undulates, dogs","","","not in Canada","Pest","6/16/2000","N","Verified, Evenhuis 1989.  Verified, Pittaway 1991.","","","75, 82"
"625",634,"1/6/2096","Aquatic","Culex peus","Diptera","Culicidae","Culex thriambus","","","","not in Canada","","6/16/2000","N","Verified, Pittaway 1991.","","",""
"626",635,"1/6/2096","Aquatic, containers, buildings","Culiseta annulata","Diptera","Culicidae","","humans, domestic ungulates, rabbits",">1","","not in Canada","Pest","6/16/2000","N","Verified, Pittaway 1991.","","y","75, 82"
"627",636,"1/6/2096","Aquatic, bog, forest","Culiseta impatiens","Diptera","Culicidae","","rodents","1","","NF,NB, QC, ON, MB, SK, AB, BC, YK, NW","Wildlife","11/13/2000","Y","Verified, Pittaway 1991.","","y","75, 82"
"628",637,"1/6/2096","Aquatic","Culiseta particeps","Diptera","Culicidae","","","","","not in Canada","","6/16/2000","N","Verified, Pittaway 1991.","","",""
"629",638,"1/6/2096","Aquatic","Mansonia dyari","Diptera","Culicidae","","","","","not in Canada","","8/14/2000","N","Verified, Pittaway 1991.","","",""
"630",639,"1/6/2096","Aquatic","Mansonia leberi","Diptera","Culicidae","","","","","not in Canada","","2/12/2099","N","","","",""
"631",640,"1/6/1996","Larvae: aquatic, swamp, bog.  Adults:  human dwelling","Coquillettidia perturbens","Diptera","Culicidae","Mansonia perturbens","humans, thistle nectar","1","","NS, NB, QC, ON, MB, SK, AB, BC","Pest","5/22/2001","Y","Verified, Evenhuis 1989. Verified, Pittaway 1991. ","","y","82"
"632",641,"1/6/2096","Aquatic","Corethrella brakeleyi","Diptera","Corethrellidae","","","","","not in Canada","","6/16/2000","N 66","Verified, Evenhuis 1989. Verified, Pittaway 1991. ","","",""
"633",642,"1/6/2096","","Nepa cinerea","Heteroptera","Nepidae","","","","","not in Canada","Wildlife","8/29/2000","N 74","Verified, Pittaway 1991.","","",""
"634",643,"1/6/2096","Aquatic","Anopheles pseudojamesi","Diptera","Culicidae","Anopheles ramsayi","","","","not in Canada","","6/7/2000","N","Verified, Pittaway 1991.","","",""
"635",644,"1/6/1996","Larvae:  aquatic.  Adults: human dwelling, animal shelter","Anopheles punctipennis","Diptera","Culicidae","","humans, horse, cow, pig, sheep, dog, cat, fowl",">1","","NS, NB, QC, ON, MB, BC","Pest","5/22/2001","Y","Verified Pittaway 1991.","","y","82"
"636",645,"1/6/2096","Aquatic","Anopheles varuna","Diptera","Culicidae","","humans, cow","","","not in Canada","Pest","6/7/2000","N","Verified, Pittaway 1991.","","","75, 82"
"637",646,"1/6/2096","Aquatic","Anopheles pretoriensis","Diptera","Culicidae","","","","","not in Canada","","6/7/2000","N","Verified Pittaway 1991.","","",""
"638",647,"1/6/2096","Aquatic, pasture","Anopheles barbirostris","Diptera","Culicidae","","humans, birds, domestic ungulates","","","not in Canada","Pest","2/19/2000","N","Verified, Evenhuis 1989.","","","75"
"639",648,"1/6/2096","Aquatic, buildings","Anopheles funestus","Diptera","Culicidae","","humans, cow, goat",">1","","not in Canada","Pest","6/7/2000","N","Verified Pittaway 1991.","","y","75, 82"
"640",650,"1/6/2096","Aquatic, human dwelling","Anopheles pharoensis","Diptera","Culicidae","","humans, birds, goat, cattle","","","not in Canada","Pest","11/7/2000","N","Verified, Evenhuis 1989. Verified Pittaway 1991.","","","75, 82"
"641",651,"1/6/2096","Aquatic","Anopheles pseudopunctipennis","Diptera","Culicidae","","humans, cow, sheep, pig, dog, fowl, horse, cat",">1","","not in Canada","Pest","12/29/2099","N, N 65","","","y","75, 82"
"642",652,"1/6/2096","Aquatic, buildings","Anopheles subpictus","Diptera","Culicidae","","humans, domestic ungulates, birds",">1","","not in Canada","Pest","6/7/2000","N","Verified, Evenhuis 1989. Verified, Pittaway 1991.","","y","75, 82"
"643",653,"1/6/2096","Aquatic","Anopheles triannulatus","Diptera","Culicidae","","","","","not in Canada","","6/7/2000","N","Verified, Pittaway 1991.","","",""
"644",654,"1/6/2096","Aquatic, buildings","Anopheles vagus","Diptera","Culicidae","","cattle, humans",">1","","not in Canada","Pest","6/7/2000","N","Verified, Evenhuis 1989. Verified, Pittaway 1991.","","y","82"
"645",655,"1/6/2096","Aquatic, marsh, bog","Anopheles walkeri","Diptera","Culicidae","","humans, cow, pig, dog, horse",">1","","NS, NB, QC, ON, MB, SK","Pest","11/13/2000","Y","Verified, Pittaway 1991.","","y","82"
"646",656,"1/6/2096","aquatic, forest","Wyeomyia vanduzeei","Diptera","Culicidae","","humans","","","not in Canada","Pest","11/13/2000","N","Verified, Pittaway 1991.","","","84"
"647",657,"1/6/1996","aquatic, pasture","Tabanus lineola","Diptera","Tabanidae","","Larva: other insects, earthworms, small crustacea, snails, other horsefly larvaeAdult female: blood feeder horse, mule, cow, hog, human, dog, deer, other wild and domestic animalAdult male: nectar, honey dew",">1","striped horse fly","QC, ON","","3/24/2001","Y","Verified, Pittaway 1991, with subspecies.  Verified, Bosik 1997.","","",""
"648",658,"1/6/2096","Aquatic","Ceratopogon sp.","Diptera","Ceratopogonidae","","","","","unknown species","unknown species","12/31/2099","xx","","","",""
"649",659,"1/6/2096","Aquatic","Orthocladius sp.","Diptera","Chironomidae","","","","","unknown species","unknown species","11/28/2000","xx","Verified, Evenhuis 1989.  Verified, Pittaway 1991.","","",""
"650",660,"1/6/2096","Aquatic","Endochironomus juncicola","Diptera","Chironomidae","","","","","not in Canada","","2/12/2099","N 65","","","",""
"651",661,"1/6/2096","","Calliphora vicina","Diptera","Calliphoridae","Calliphora erythrocephala Meigen ","","","","QC, ON, MB, SK, AB, BC, YK, NW","","9/19/2000","Y 65","Verified, Evenhuis 1989.  Verified, Pittaway 1991. (C. erythrocephala De Geer may be valid)?","","",""
"652",662,"1/6/2096","","Aphis rumicis","Homoptera","Aphididae","","",">1","","NS, PE, NB, ON, MB, SK, BC, NW","","2/12/2099","Y foot","","","",""
"653",663,"1/6/2096","Aquatic","Gerris najas","Heteroptera","Gerridae","Aquarius najas","","","","not in Canada","","2/12/2099","N 74","","","",""
"654",664,"1/6/2096","Aquatic","Notonecta marmorea viridis","Heteroptera","Notonectidae","Notonecta viridis","","","","not in Canada","Wildlife","8/29/2000","N 74","Verified, Pittaway 1991.","","",""
"655",665,"1/6/2096","Aquatic","Aeshna grandis","Odonata","Aeshnidae","","","","","not in Canada","Wildlife","2/12/2099","N 52, 53","","","",""
"656",666,"1/6/2096","Aquatic","Ephemerella ignita","Ephemeroptera","Ephemerellidae","","","","","not in Canada","Wildlife","2/12/2099","N 62","","","",""
"657",667,"1/6/2096","Aquatic","Ephemerella lepnevae","Ephemeroptera","Ephemerellidae","","","","","not in Canada","Wildlife","2/12/2099","N 62","","","",""
"658",668,"1/6/2096","","Trachea secalis","Lepidoptera","Noctuidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"659",669,"1/6/2096","Aquatic","Dicrotendipes californicus","Diptera","Chironomidae","Chironomus californicus","","","","not in Canada","","6/16/2000","N 65","Verified, Pittaway 1991.","","",""
"660",670,"1/6/2096","Aquatic","Ephemera vulgata","Ephemeroptera","Ephemeridae","","","","","not in Canada","Wildlife","2/12/2099","N 62","","","",""
"661",671,"1/6/1996","aquatic","Rhyacophila obliterata","Trichoptera","Rhyacophilidae","","","","","not in Canada","Wildlife","4/10/2001","N 55","Verified, TWC db.","","",""
"662",672,"1/6/2096","aquatic","Simulium latipes","Diptera","Simuliidae","Eusimulium latipes","larva: detritus, microbes","","","NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","","8/29/2000","Y 65","Verified, Pittaway 1991.","","",""
"663",673,"1/6/2096","aquatic","Prosimulium sp.","Diptera","Simuliidae","","larva: detritus, microbes","","","unknown species","unknown species","8/29/2000","xx","Verified, Pittaway 1991.","","",""
"664",674,"1/6/2096","aquatic","Prosimulium magnum","Diptera","Simuliidae","","larva: detritus, microbes","1","","not in Canada","","8/29/2000","N 65","Verified, Pittaway 1991.","","",""
"665",675,"1/6/2096","aquatic","Prosimulium multidentatum","Diptera","Simuliidae","","larva: detritus, microbes","","","QC, ON","","2/12/2099","Y 65","","","",""
"666",676,"1/6/2096","aquatic","Prosimulium alpestre","Diptera","Simuliidae","","larva: detritus, microbes","","","BC, YK","","2/12/2099","Y 65","","","",""
"667",678,"1/6/1996","aquatic","Cnephia mutata","Diptera","Simuliidae","","Larva: Organic matter; Adult: Blood feeder","","","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","","3/24/2001","Y 65","","","",""
"668",679,"1/6/2096","aquatic","Prosimulium hirtipes","Diptera","Simuliidae","","larva: detritus, microbes","1","","not in Canada","","8/29/2000","N 65","Verified, Pittaway 1991.","","",""
"669",680,"1/6/2096","","Drosophila confusa","Diptera","Drosophilidae","","","","","not in Canada","","2/12/2099","N 65","","","",""
"670",681,"1/6/2096","","Drosophila pleurolineata","Diptera","Drosophilidae","Drosophila pleurilineata, Drosophila plurilineata","","","","not in Canada","","2/12/2099","N 65","","","",""
"671",682,"1/6/2096","","Musca sorbens","Diptera","Muscidae","","","","","not in Canada","Pest","8/29/2000","N 65","Verified, Evenhuis 1989.  Verified, Pittaway 1991.","","","75"
"672",683,"1/6/1996","meadow; forest","Phormia regina","Diptera","Calliphoridae","","Saprophagous; carrion.",">1","black blow fly","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Pest","3/15/2001","Y 65","Verified, Evenhuis 1989. Verified, Pittaway 1991. Verified, Bosik 1997.","","y","75"
"673",684,"1/6/1996","","Cochliomyia macellaria","Diptera","Calliphoridae","Callitroga macellaria","carcasses","","secondary screwworm","NB, QC, ON, MB","Pest","3/8/2001","Y 65","Verified, Evenhuis 1989. Verified, Pittaway 1991. Verified, Bosik 1997.","","",""
"674",685,"1/6/1996","","Pollenia rudis","Diptera","Calliphoridae","","","","cluster fly","NS, PE, NB, QC, ON, MB, SK, AB, BC,","","3/15/2001","Y 65","Verified, Evenhuis 1989. Verified, Pittaway 1991. Verified, Bosik 1997.","","",""
"675",686,"1/6/1996","orchard","Ceratitis capitata","Diptera","Tephritidae","","fruits of peach, citrus, plum.  Many subtropical fruits, including Ficus, Solanum, cocoa, coffee, mango, guava",">1","Mediterranean fruit fly","not in Canada","Pest","4/5/2001","N 8, N 65","Verified, Evenhuis 1989. Verified, Bosik 1997. Verified, HYPPZ species db.","","y",""
"676",687,"1/6/1996","latrines, human dwelling","Fannia scalaris","Diptera","Fanniidae","Homalomyia scalaris","excrement, carcasses",">1","latrine fly","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Pest","3/9/2001","Y 65","Verified, Evenhuis 1989.  Verified, Pittaway 1991. Verified, Bosik 1997.","","y","75"
"677",688,"1/6/2096","","Panstrongylus megistus","Heteroptera","Reduviidae","","humans, rodents, cats, dogs, squirrel, armadilloes, opossoms, bats","","","not in Canada","Pest","8/29/2000","N 74","Verified, Pittaway 1991.","","","75"
"678",689,"1/6/2096","Aquatic","Chaoborus  sp.","Diptera","Chaoboridae","Corethra sp.","","","","unknown species","unknown species","2/19/2000","xx","Verified, Evenhuis 1989","","",""
"679",690,"1/6/2096","human dwelling (cellars)","Sciara ocellaris","Diptera","Sciaridae","","mushrooms",">1","","not in Canada","","11/13/2000","N 65","","","",""
"680",691,"1/6/2096","aquatic","Prosimulium inflatum","Diptera","Simuliidae","","larva: detritus, microbes","","","not in Canada","","2/12/2099","N 65","","","",""
"681",692,"1/6/2096","aquatic","Gymnopais sp.","Diptera","Simuliidae","","larva: detritus, microbes","","","unknown species","unknown species","8/7/2000","xx","Verified, Pittaway 1991.","","",""
"682",693,"1/6/2096","","Lithosia complana","Lepidoptera","Arctiidae","","","","","not in Canada","","2/12/2099","N 3","","","",""
"683",694,"1/6/2096","Urban","Laothoe populi","Lepidoptera","Sphingidae","Amorpha populi","Polulus, Ulmus, Salix fragilis","","poplar hawk moth","not in Canada","Pest","2/12/2099","N 33","","77","","77"
"684",695,"1/6/2096","","Dicanura vinula","Lepidoptera","Notodontidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"685",696,"1/6/2096","forest","Catocala elocacta","Lepidoptera","Noctuidae","","Populus, Salix","","","not in Canada","Pest","11/13/2000","N 33","","","","77"
"686",697,"1/6/1996","orchard, forest","Catocala nupta","Lepidoptera","Noctuidae","","Larvae: white willow (Salix alba ), crack willow (Salix    fragilis ), weeping willow (Salix babylonica ), black poplar (Populus nigra ), wild plum (Prunus domestica )Adults: Rotten fruit and berries`","1","","not in Canada","","2/22/2001","N 33","","","",""
"687",698,"1/6/2096","grassland","Calamia virens","Lepidoptera","Noctuidae","","Gramineae","","","not in Canada","Pest","11/7/2000","N 33","","","",""
"688",699,"1/6/2096","","Phytometra gamma","Lepidoptera","Noctuidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"689",700,"1/6/1996","Forest, Urban","Hyalophora cecropia","Lepidoptera","Saturniidae","Samia cecropia","maple (Acer), Caragana, green ash, white elm, apple (Malus), willow, white birch","1","cecropia moth","NS, NB, QC, ON, MB, SK, AB","Pest","3/24/2001","Y 3","Verified, Bosik 1997.  ","","y","77"
"690",701,"1/6/2096","Crop","Schistocerca americana","Orthoptera","Acrididae","","Many crop plants",">1","American grasshopper","QC, ON","Pest","1/21/2000","Y","Verified, UConn Orthoptera db.","","y",""
"691",702,"1/6/1996","","Bombus pascuorum","Hymenoptera","Apidae","Bombus agrorum","","","","not in Canada","Wildlife","4/10/2001","N 67","Verified, OSU Hymenoptera db.","","","Plath"
"692",703,"1/6/1996","","Bombus sylvarum","Hymenoptera","Apidae","Bombus sylvarium","","","","not in Canada","Wildlife","4/10/2001","N 67","Verified, OSU Hymenoptera db.","","","plath"
"693",704,"1/6/2096","Fields, urban, forest, crop, orchard","Apis florea","Hymenoptera","Apidae","","Nectar and pollen from flowers","","","not in Canada","Wildlife","11/13/2000","N 67","Verified, Pittaway 1991.","","",""
"694",705,"1/6/2096","","Brassolis astyra","Lepidoptera","Nymphalidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"695",706,"1/6/2096","","Scea auriflamma","Lepidoptera","Dioptidae","","","","","not in Canada","","12/19/2000","N 33","","","",""
"696",707,"1/6/1996","Aquatic","Baetis sp.","Ephemeroptera","Baetidae","","","","","unknown species","unknown species","4/5/2001","xx","OK, MNA db.","","",""
"697",708,"1/6/2096","Aquatic","Caenis macura","Ephemeroptera","Caenidae","","","","","not in Canada","Wildlife","2/12/2099","N 62","","","",""
"698",709,"1/6/2096","Aquatic","Ecdyonurus venosus","Ephemeroptera","Ecdyonuridae","","","","","not in Canada","Wildlife","6/30/2099","N 62","","","",""
"699",710,"1/6/2096","","Tipula gigantea","Diptera","Tipulidae","","","","","not in Canada","","2/12/2099","N 65","","","",""
"700",711,"1/6/2096","","Cactoblastis sp.","Lepidoptera","Pyralidae","","","","","unknown species","unknown species","2/12/2099","xx","","","",""
"701",713,"1/6/1996","Crop, forest, grassland","Campoletis perdistinctus  ","Hymenoptera","Ichneumonidae","Campoletis sonorensis ","Parasitoid: Autographa californica, Heliothis phloxiphaga, Heliothis virescens, Helicoverpa zea, Peridroma saucia, Spodoptera exigua, Trichoplusia ni, Anthorcaris midea","","","ON, MB, SK, AB, BC","Beneficial","4/10/2001","Y 67","","","",""
"702",714,"1/6/1996","Crop","Catolaccus aeneoviridis","Hymenoptera","Pteromalidae","","Hyperparasitoid of Hymenoptera, including:  Campoletis sonorensis, Bathyplectes, Apanteles, Macrocentrus","","","QC, ON, MB, SK, AB, BC,","Wildlife","4/10/2001","Y 67","Verified, OSU Hymenoptera db.","","",""
"703",715,"1/6/2096","","Nonagria cannae","Lepidoptera","Noctuidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"704",716,"1/6/1996","Crop","Cardiochiles nigriceps","Hymenoptera","Braconidae","","Heliothis virescens, Heliothis subflexa","","","not in Canada","Beneficial","4/10/2001","N 67","Verified, OSU Hymenoptera db.  ","","",""
"705",718,"1/6/2096","Aquatic","Prodiamesa olivacea","Diptera","Chironomidae","","","","","not in Canada","","2/12/2099","N 65","","","",""
"706",719,"1/6/1996","Crop, orchard","Coccinella septempunctata","Coleoptera","Coccinellidae","","predator, aphids, scales, soft-bodied insects & mites","","sevenspotted lady beetle","NS, NB, QC, ON, MB, SK, AB, BC","Beneficial","6/13/2001","Y 43","Verified, Bosik 1997.","","",""
"707",720,"1/6/1996","Crop, orchard","Hippodamia tredecimpunctata","Coleoptera","Coccinellidae","Hippodamia tridecimpunctata","Predator,  aphids, scales, soft-bodied insects & mites","","","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Beneficial","3/15/2001","Y 43","","","",""
"708",721,"1/6/2096","","Myrrha octodecimguttata","Coleoptera","Coccinellidae","","","","","not in Canada","","10/1/2099","N 43","Spelling?  octodecimguttata or octodecimoguttata?  ","","",""
"709",722,"1/6/1996","orchard, larvae: under bark.","Cossus cossus","Lepidoptera","Cossidae","Trypanus cossus","almond, apple (Malus), cherry, pear, plum, olive, sweet chestnut (Castanea sativa), elm (Ulmus), poplar (Populus), buckeye/horse-chestnut (Aesculus), Tilia, maple (Acer)","<1","goat moth","not in Canada","Pest","5/22/2001","N 8","Verified, HYPPZ species db.  Is Cossula cossus a synonym??","Y 8","",""
"710",723,"1/6/1996","dry sandy wastelands, hillsides,  forest (in sandy clearings)","Melanoplus confusus","Orthoptera","Acrididae","","forbs, sedges","1","","QC, ON, MB, SK, AB, BC","Wildlife","5/22/2001","Y","Verified, UConn Orthoptera db. ","","y",""
"711",725,"1/6/1996","stored product","Cynaeus angustus","Coleoptera","Tenebrionidae","","stored grains",">1","larger black flour beetle","QC, ON, MB, SK, AB, BC","Pest","3/29/2001","Y 43, Y 66","Verified, Bosik 1997.  NO HITS IN TAFD!","","y","66"
